n_periods_jul,total_return_pct_jul,cagr_pct_jul,sharpe_jul,max_drawdown_pct_jul,win_rate_pct_jul,avg_period_ret_bps_jul,signal,n,direction,side,n_periods_aug,total_return_pct_aug,cagr_pct_aug,sharpe_aug,max_drawdown_pct_aug,win_rate_pct_aug,avg_period_ret_bps_aug,combo_sharpe
206,-0.21726002901183428,-2.60764674874866,0.6722092668673504,-39.585134646522015,49.029126213592235,3.9996864224219415,chg_1m,15,momentum,long_only,195,-30.265408946410123,-98.85920859147954,-3.1840657074475947,-41.79388546011735,43.07692307692308,-15.597324842868954,-3.1840657074475947
206,-18.550551963265626,-91.73149252046564,-3.1860451268510963,-20.508971960780066,46.601941747572816,-8.951714413270649,chg_open_1d,20,reversion,long_short,195,17.37708113725429,630.3362979476638,3.77179345676615,-13.259449720982342,52.820512820512825,8.888270856298327,-3.1860451268510963
206,-25.50580587255539,-97.20434956974847,-3.2174256399802394,-29.223156443190145,48.05825242718447,-12.42589208565781,chg_30m,10,reversion,long_short,195,44.417414648423346,9468.970099471982,6.157488164821372,-10.548690998543076,55.8974358974359,20.153965571791062,-3.2174256399802394
206,-3.5415703441788793,-35.470663026307314,-0.45150451857640445,-14.652868203668678,51.94174757281553,-1.0575420570397143,chg_1w,30,reversion,long_short,195,-11.925154372172365,-79.31685067115883,-3.4048642724021163,-21.102153797277833,43.07692307692308,-6.120497577264787,-3.4048642724021163
206,50.02717399966294,13710.056694343373,4.005803302051868,-27.795450480486007,55.33980582524271,24.378909844014345,chg_24h,10,momentum,short_only,195,-28.33120202212124,-98.39801244529757,-3.5748502660285775,-35.54547064096114,47.69230769230769,-14.960014736330825,-3.5748502660285775
206,-34.720392535004926,-99.4378786954825,-2.4438998820387545,-45.37427978870085,42.23300970873786,-15.652692893005511,chg_1w,10,reversion,long_only,195,-26.98915565499821,-97.98326457319052,-3.5766724455238377,-40.60316053164572,44.1025641025641,-14.216132783302703,-3.5766724455238377
206,-33.986045816609845,-99.35605331442557,-3.582964979986406,-50.09957078888381,44.1747572815534,-17.351222396520836,chg_1w,20,momentum,long_only,195,-18.553153587944003,-92.16647318599135,-1.9148453465734334,-33.620046199232675,49.743589743589745,-8.26613712348789,-3.582964979986406
206,22.09905709469975,1030.8944669388572,2.83340373648319,-16.54755126885499,56.310679611650485,11.965701438668573,chg_15m,15,momentum,short_only,195,-24.652249395830815,-97.018376478307,-3.6068285634850468,-33.5203625593377,47.179487179487175,-12.950976537135057,-3.6068285634850468
206,-23.587882152241,-96.19285256775531,-3.62689905741132,-35.343179183859206,46.601941747572816,-11.745858973883353,chg_5m,20,momentum,long_only,195,-12.56812899627775,-81.1145712471735,-2.0485666048746447,-27.214962964937527,47.179487179487175,-5.89173510128436,-3.62689905741132
206,-16.613892831158417,-88.99958647708587,-1.8165673897637442,-19.386568836530348,52.9126213592233,-6.937954348546245,chg_1w,15,reversion,long_short,195,-20.55183045916249,-94.24494247881505,-3.6550837738937125,-33.273741991536355,44.61538461538462,-10.748202637852627,-3.6550837738937125
206,-22.28918914155319,-95.32784935328749,-3.6790437146724955,-27.15576831155818,45.63106796116505,-11.105046284459036,chg_30m,15,reversion,long_short,195,19.40261934753138,803.09899512996,3.894464088716544,-10.491856387151044,53.333333333333336,9.871317652524539,-3.6790437146724955
206,28.61283163986834,2026.3623271112187,3.2688737970532404,-24.87014563483826,51.45631067961165,14.812238528838316,chg_open_1d,15,momentum,short_only,195,-24.583646891875965,-96.98451168924832,-3.692361229593098,-33.07454727130917,47.179487179487175,-12.965402693753282,-3.692361229593098
206,-29.564744124685284,-98.584590071454,-3.6929718358470267,-42.406121252846475,44.1747572815534,-15.023224140004679,chg_15m,20,reversion,long_only,195,-7.499429956733417,-61.993751344205464,-0.8562202632650568,-23.550866797840243,47.179487179487175,-2.7502115701806122,-3.6929718358470267
206,-36.26227964180605,-99.57954776871814,-3.729154315116632,-42.777593669045324,46.116504854368934,-18.725818645063796,chg_1w,15,reversion,long_only,195,-22.65858102869536,-95.8770874436347,-3.3171907025561524,-37.83614535922752,45.64102564102564,-11.676082296703374,-3.729154315116632
206,-31.262530184252903,-98.9476740277492,-3.739266646496891,-36.991473597850586,45.63106796116505,-15.932472131214755,chg_1w,20,reversion,long_only,195,-16.11705186216491,-88.70732184243599,-2.7374138830078896,-29.33559309428615,47.69230769230769,-7.984138481412468,-3.739266646496891
206,-15.744025181413567,-87.52150315969092,-3.7578873693248505,-18.506381474138934,43.203883495145625,-7.774403894854044,chg_1m,30,reversion,long_short,195,-5.167691059594048,-48.235746472559995,-1.4767675138473173,-14.070185160444082,53.333333333333336,-2.4012733901723338,-3.7578873693248505
206,-17.981733661954134,-91.00201744797539,-3.8178719622064223,-26.126373286410754,43.203883495145625,-8.94245794296029,chg_1w,30,momentum,long_short,195,-7.988375521998781,-64.41303342834772,-2.158187145263391,-13.108841194416188,49.743589743589745,-3.879502422735217,-3.8178719622064223
206,-26.87142023602188,-97.76711476253206,-3.822214567227299,-37.368672888850185,40.77669902912621,-13.615502093213259,chg_24h,30,reversion,long_only,195,-0.6339347526651884,-7.58872412946644,0.12906717448599583,-20.00524155654526,50.76923076923077,0.29212773403585124,-3.822214567227299
206,0.2542143866582469,3.132457941129152,0.37850168243607457,-19.77975105885402,50.48543689320388,1.0291455144843384,chg_1m,20,momentum,long_short,195,-15.91360674661968,-88.36268840454575,-3.8266155450911117,-17.588172456961725,46.666666666666664,-8.317440466553466,-3.8266155450911117
206,25.516338547680185,1481.456959219013,3.689829034428234,-16.94716307545304,54.36893203883495,12.404567292378244,chg_1m,15,momentum,long_short,195,-19.664427501342953,-93.39435753169853,-3.862219867022644,-21.015448584696884,44.1025641025641,-10.359408394782925,-3.862219867022644
206,8.560322190620727,171.23744766564468,1.9162785424783821,-9.255192242417076,48.05825242718447,4.7540476844682695,chg_5m,30,reversion,short_only,195,-18.53007009186087,-92.1388765738228,-3.8880376066738256,-26.57694313143294,47.69230769230769,-9.745346945985759,-3.8880376066738256
206,23.345239364894034,1179.3749322663673,2.9024114862677166,-16.340571653098845,51.45631067961165,12.551049250527793,chg_24h,20,momentum,short_only,195,-20.45262305913431,-94.15512210625806,-3.919926275340312,-26.177281319362077,44.61538461538462,-10.810929507820795,-3.919926275340312
206,-3.278861715223602,-33.30287412588204,-0.13162914574451315,-14.673711586052928,50.970873786407765,-0.4053191210117911,chg_15m,30,momentum,short_only,195,-20.47738947353516,-94.17766503141497,-3.9913687988015076,-27.369011804379284,43.58974358974359,-10.857059837693882,-3.9913687988015076
206,34.5157616680807,3567.7297072003626,4.321834501732694,-19.13353968684648,53.398058252427184,16.15586235834133,chg_open_1d,20,momentum,short_only,195,-22.984776753906246,-96.08776425320076,-4.036741786533713,-35.34572128668665,47.69230769230769,-12.268358490854721,-4.036741786533713
